order_link_id,symbol,side,order_type,purpose,qty,price,stop_trigger,status,exchange_order_id,parent_id,created_at,updated_at,metadata
v43-ada-0318-1056-b-0001,ADA,BUY,LIMIT,entry,35.0,0.2884,,CANCELLED,,,2026-03-18T10:56:32.112409+00:00,2026-03-18T10:56:53.339539+00:00,"{""p_trade"": 0.4608067646035834, ""mode"": ""live""}"
v43-sol-0318-1056-b-0001,SOL,BUY,LIMIT,entry,0.12,93.7,,CANCELLED,,,2026-03-18T10:56:53.343165+00:00,2026-03-18T10:57:14.838103+00:00,"{""p_trade"": 0.4935928256002296, ""mode"": ""live""}"
v43-link-0318-1057-b-0001,LINK,BUY,LIMIT,entry,3.15,9.75,,CANCELLED,,,2026-03-18T10:57:14.841791+00:00,2026-03-18T10:57:37.105704+00:00,"{""p_trade"": 0.9302226901054382, ""mode"": ""live""}"
v43-ada-0318-1059-b-0001,ADA,BUY,LIMIT,entry,35.0,0.2884,,REJECTED,,,2026-03-18T10:59:58.261295+00:00,2026-03-18T10:59:58.363939+00:00,"{""p_trade"": 0.45910535662646246, ""mode"": ""live""}"
v43-sol-0318-1059-b-0001,SOL,BUY,LIMIT,entry,0.12,93.8,,FILLED,203843435073,,2026-03-18T10:59:58.367356+00:00,2026-03-18T11:00:01.079169+00:00,"{""p_trade"": 0.4914417937951351, ""mode"": ""live""}"
v43-link-0318-1100-b-0001,LINK,BUY,LIMIT,entry,3.15,9.752,,FILLED,48364700894,,2026-03-18T11:00:01.504439+00:00,2026-03-18T11:00:01.935030+00:00,"{""p_trade"": 0.914085865020752, ""mode"": ""live""}"
v43-ada-0318-1114-b-0001,ADA,BUY,LIMIT,entry,34.0,0.2872,,CANCELLED,,,2026-03-18T11:14:39.091327+00:00,2026-03-18T11:15:00.581527+00:00,"{""p_trade"": 0.45073529728942036, ""mode"": ""live""}"
v43-sol-0318-1214-b-0001,SOL,BUY,LIMIT,entry,0.37,91.72,,REJECTED,,,2026-03-18T12:14:01.817140+00:00,2026-03-18T12:14:01.916863+00:00,"{""p_trade"": 0.5089494270209023, ""mode"": ""live""}"
v43-link-0318-1214-b-0001,LINK,BUY,LIMIT,entry,11.25,9.508,,REJECTED,,,2026-03-18T12:14:01.919890+00:00,2026-03-18T12:14:02.169487+00:00,"{""p_trade"": 0.6865589618682861, ""mode"": ""live""}"
v43-sol-0318-1218-b-0001,SOL,BUY,LIMIT,entry,0.37,91.74,,FILLED,203856412577,,2026-03-18T12:18:49.441682+00:00,2026-03-18T12:18:54.040778+00:00,"{""p_trade"": 0.5111760514082833, ""mode"": ""live""}"
v43-link-0318-1218-b-0001,LINK,BUY,LIMIT,entry,11.25,9.517,,REJECTED,,,2026-03-18T12:18:54.350825+00:00,2026-03-18T12:18:54.457879+00:00,"{""p_trade"": 0.7839267253875732, ""mode"": ""live""}"
v43-link-0318-1420-b-0001,LINK,BUY,LIMIT,entry,3.46,9.322,,REJECTED,,,2026-03-18T14:20:13.079559+00:00,2026-03-18T14:20:13.189064+00:00,"{""p_trade"": 0.6728333830833435, ""mode"": ""live""}"
v43-link-0318-2019-b-0001,LINK,BUY,LIMIT,entry,1.68,9.138,,REJECTED,,,2026-03-18T20:19:48.305825+00:00,2026-03-18T20:19:48.415409+00:00,"{""p_trade"": 0.5175012946128845, ""mode"": ""live""}"
